ACT_RAW_000_LF_HAA,torque_LF_hip
ACT_RAW_001_LF_HFE,torque_LF_thigh
ACT_RAW_002_LF_KFE,torque_LF_shank
ACT_RAW_003_LH_HAA,torque_LH_shank
ACT_RAW_004_LH_HFE,torque_LH_thigh
ACT_RAW_005_LH_KFE,torque_LH_shank
ACT_RAW_006_RF_HAA,torque_RF_hip
ACT_RAW_007_RF_HFE,torque_RF_thigh
ACT_RAW_008_RF_KFE,torque_RF_shank
ACT_RAW_009_RH_HAA,torque_RH_hip
ACT_RAW_010_RH_HFE,torque_RH_thigh
ACT_RAW_011_RH_KFE,torque_RH_shank
