OBS_RAW_000_u, body_lin_vel_x
OBS_RAW_163_height_128, height_128
OBS_RAW_164_height_129, height_129
OBS_RAW_165_height_130, height_130
OBS_RAW_166_height_131, height_131
OBS_RAW_167_height_132, height_132
OBS_RAW_168_height_133, height_133
OBS_RAW_169_height_134, height_134
OBS_RAW_170_height_135, height_135
OBS_RAW_171_height_136, height_136
OBS_RAW_172_height_137, height_137
OBS_RAW_173_height_138, height_138
OBS_RAW_174_height_139, height_139
OBS_RAW_175_height_140, height_140
